LOCATION,TIME,Value_disposable_income,Value_adult_education,Value_alcohol_consumption,Value_air_pollution,Value_overweight_population,Value_avg_annual_hours,Happiness Rank,HDI Rank (2017),income_inequality,unemployment,HDI_value,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Canada,2017,32916.7928002868,56.71451999999999,8.1,0.0,,1695.0,7.0,12.0,7.7,6.4,0.926,North America,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,2.18726444244385
Switzerland,2015,38727.3994292735,39.782719,9.5,74.61733000000001,53.900000000000006,1589.5,1.0,,8.4,4.8,0.942,Western Europe,7.587000000000001,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997
Switzerland,2016,39397.2785114769,41.235473999999996,9.3,54.0838,54.26666666666667,1589.7,2.0,,7.5,4.9,0.943,Western Europe,7.5089999999999995,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463
Chile,2015,16110.311395196999,22.475199,7.9,97.71318000000001,62.56666666666666,1988.0,27.0,,17.1,6.5,0.84,Latin America and Caribbean,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2016,16573.157430086398,23.821689,7.9,97.19968,63.06666666666666,1974.0,24.0,,15.7,6.7,0.842,Latin America and Caribbean,6.705,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595,2.95505
Chile,2017,17094.8824369482,25.168179000000002,7.9,97.2919,,1954.0,20.0,44.0,14.9,7.0,0.843,Latin America and Caribbean,6.65199995040894,1.25278460979462,1.28402495384216,0.8194797039031979,0.376895278692245,0.0822879821062088,0.3266624212265011,2.5095858573913596
Czech Republic,2015,22030.792896590297,22.186741,11.5,99.91615,61.9,1756.0,31.0,,8.357142857142858,7.6380952380952385,,Central and Eastern Europe,6.505,1.17898,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2016,23063.0456300821,22.971544,11.7,99.89145,62.26666666666667,1779.0,27.0,,8.357142857142858,7.6380952380952385,,Central and Eastern Europe,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211
Czech Republic,2017,24440.628285065297,23.927534,11.6,99.89145,,1784.0,23.0,,8.357142857142858,7.6380952380952385,,Central and Eastern Europe,6.60900020599365,1.35268235206604,1.4338852167129499,0.754444003105164,0.49094617366790794,0.0368729270994663,0.0881067588925362,2.45186185836792
Germany,2015,35975.4650153942,27.638234999999998,12.0,96.50202,56.333333333333336,1369.8,26.0,,7.0,4.6,0.933,Western Europe,6.75,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,2.1156900000000003
Germany,2016,37477.3999727998,28.291722999999998,10.9,90.29268,56.73333333333333,1362.8,16.0,,8.3,4.1,0.934,Western Europe,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2.5093099999999997
Germany,2017,38995.5362009494,28.583370000000002,11.45,90.30646999999999,,1360.4,16.0,5.0,7.8,3.7,0.936,Western Europe,6.9510002136230495,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.276731938123703,0.33626917004585305,2.01576995849609
Denmark,2015,30514.9218073025,37.095581,9.3,76.71206,55.06666666666666,1407.0,3.0,,7.0,6.2,0.926,Western Europe,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2016,31561.2724921316,38.169136,9.4,62.81405,55.43333333333334,1412.0,1.0,,7.7,6.2,0.928,Western Europe,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939
Denmark,2017,33188.4183784744,39.232346,9.1,62.66125,,1405.0,2.0,11.0,7.4,5.9,0.929,Western Europe,7.52199983596802,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.40077006816863997,0.3552804887294771,2.31370735168457
Spain,2015,24791.2329372706,35.081161,8.3,60.46666999999999,61.199999999999996,1699.6,36.0,,10.1,22.1,0.885,Western Europe,6.329,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002,2.12367
Spain,2016,25463.2603355442,35.693489,8.6,46.04878,61.53333333333333,1701.5,37.0,,15.2,19.6,0.889,Western Europe,6.361000000000001,1.34253,1.12945,0.8789600000000001,0.37545,0.06137000000000001,0.17665,2.39663
Spain,2017,26108.8291483969,36.351273,8.45,46.36139,,1690.2,34.0,26.0,14.9,17.4,0.891,Western Europe,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.0709140971302986,0.190133571624756,1.92775774002075
Estonia,2015,19541.6016503461,38.030696999999996,10.6,0.0,55.400000000000006,1788.0,73.0,,8.6,6.2,0.866,Central and Eastern Europe,5.428999999999999,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782
Estonia,2016,20650.5438849224,38.756851,10.2,0.0,55.76666666666667,1791.0,72.0,,9.4,6.8,0.868,Central and Eastern Europe,5.517,1.2796399999999999,1.0516299999999998,0.68098,0.41511000000000003,0.18519000000000002,0.08423,1.81985
Estonia,2017,21779.6304280704,39.663879,10.3,0.0,,1792.0,66.0,30.0,8.5,6.8,0.871,Central and Eastern Europe,5.61100006103516,1.3208793401718102,1.47667109966278,0.695168316364288,0.479131430387497,0.18324892222881303,0.0988908112049103,1.35750865936279
Finland,2015,31218.067816015497,42.742619,8.5,0.0,57.5,1563.0,6.0,,5.7,9.4,0.915,Western Europe,7.406000000000001,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955
Finland,2016,31918.0334331943,43.595264,8.4,0.0,57.833333333333336,1560.0,5.0,,8.4,8.8,0.918,Western Europe,7.412999999999999,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596
Finland,2017,32990.4205693428,44.304253,8.4,0.0,,1556.0,5.0,15.0,5.5,8.7,0.92,Western Europe,7.468999862670901,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.38261154294014,0.24548277258873,2.4301815032958998
France,2015,31918.287796486,34.085361,11.9,90.99463,59.1,1519.0,29.0,,9.3,10.4,0.898,Western Europe,6.575,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,2.21126
