LOCATION,TIME,Value_disposable_income,Value_adult_education,Value_alcohol_consumption,Value_air_pollution,Value_overweight_population,Value_avg_annual_hours,Happiness Rank,HDI Rank (2017),income_inequality,unemployment,HDI_value,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Costa Rica,2017,16421.05896671242,22.989092000000003,3.3,99.59446,,2178.9,12.0,63.0,17.3,8.5,0.794,Latin America and Caribbean,7.0789999961853,1.10970628261566,1.4164036512374898,0.7595092654228209,0.580131649971008,0.100106589496136,0.21461322903633104,2.89863920211792
Indonesia,2015,26790.265884543096,10.567527,0.3,95.16592,27.333333333333332,1713.3206096986817,74.0,,18.2,4.5,0.686,Southeastern Asia,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,1.86399
Indonesia,2016,26790.265884543096,11.337651,0.3,94.76018,28.133333333333336,1713.3206096986817,79.0,,17.6,4.1,0.691,Southeastern Asia,5.314,0.95104,0.87625,0.49373999999999996,0.39237,0.00322,0.56521,2.03171
Indonesia,2017,26790.265884543096,11.857569,0.3,94.76083,,1713.3206096986817,81.0,116.0,18.7,4.3,0.694,Southeastern Asia,5.26200008392334,0.995538592338562,1.2744446992874099,0.49234572052955605,0.443323463201523,0.0153171354904771,0.611704587936401,1.42947697639465
Iceland,2015,31883.018833735096,38.841152,7.7,6.3778,58.699999999999996,1504.0,2.0,,5.7,4.0,0.927,Western Europe,7.561,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201
Iceland,2016,31883.018833735096,40.475002,7.5,5.94597,59.03333333333333,1494.0,3.0,,5.9,3.0,0.933,Western Europe,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137
Iceland,2017,31883.018833735096,42.38409,7.7,5.74444,,1483.0,3.0,6.0,5.9,2.9,0.935,Western Europe,7.50400018692017,1.480633020401,1.6105740070343,0.8335521221160892,0.6271626353263849,0.15352655947208402,0.47554022073745705,2.32271528244019
Israel,2015,19284.3561733065,48.824478000000006,2.6,99.99303,64.0,1895.41,11.0,,12.9,5.3,0.901,Middle East and Northern Africa,7.278,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854
Israel,2016,19284.3561733065,49.895348,2.6,99.99303,64.33333333333333,1922.08,11.0,,12.7,4.8,0.902,Middle East and Northern Africa,7.267,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,3.31029
Israel,2017,19284.3561733065,50.91605,2.6,99.99303,,1917.98,11.0,22.0,12.2,4.3,0.903,Middle East and Northern Africa,7.212999820709231,1.3753824234008798,1.37628996372223,0.83840399980545,0.40598860383033797,0.0852421000599861,0.330082654953003,2.80175733566284
New Zealand,2016,25750.1097938576,36.275139,8.9,0.0,65.66666666666666,1752.0,8.0,,12.2,5.1,0.915,Australia and New Zealand,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553
New Zealand,2017,25750.1097938576,37.730431,8.8,0.0,,1753.0,8.0,16.0,7.5,4.9,0.917,Australia and New Zealand,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512021,0.38281670212745705,0.500005125999451,2.0464563369751
Saudi Arabia,2016,19284.3561733065,23.623922,1.9833333333333334,99.6151,69.93333333333334,1891.8674999999998,34.0,,14.016666666666667,5.9,0.854,Middle East and Northern Africa,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482
Turkey,2016,19284.3561733065,19.362528,1.3,99.8985475,66.7,1832.0,78.0,,15.2,10.8,0.787,Middle East and Northern Africa,5.388999999999999,1.1649200000000002,0.8771700000000001,0.64718,0.23889000000000002,0.12347999999999999,0.04707,2.29074
Turkey,2017,19284.3561733065,20.013071,1.4,99.8985475,,1832.0,69.0,64.0,15.3,11.3,0.791,Middle East and Northern Africa,5.5,1.1982743740081798,1.33775317668915,0.6376056075096129,0.300740599632263,0.0996715798974037,0.0466930419206619,1.87927794456482
China,2015,30795.414793322634,50.493019333333336,5.7,99.86729,31.53333333333333,1714.0,84.0,,15.3,4.6,0.743,Eastern Asia,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,1.8604
China,2016,30795.414793322634,50.493019333333336,5.7,99.86554,32.3,1714.0,83.0,,15.3,4.7,0.748,Eastern Asia,5.245,1.0278,0.79381,0.73561,0.44011999999999996,0.02745,0.049589999999999995,2.17087
India,2015,26790.265884543096,33.02739250537634,3.0,99.94157,19.1,1713.3206096986817,117.0,,26.5,3.5,0.627,Southern Asia,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475,2.27513
India,2016,26790.265884543096,33.02739250537634,3.0,99.94157,19.700000000000003,1713.3206096986817,118.0,,27.2,3.5,0.636,Southern Asia,4.404,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,0.25028,2.18032
